"Location ID","Location Name","Location Group","Location Type","Sensor ID","Local Date/Time","UTC Date/Time","Channel","PM2.5 (μg/m³) raw","0.3um particle count","CO2 (ppm) raw","Temperature (°C) raw","Humidity (%) raw","TVOC avg (ppb)","TVOC index","NOX index","PM1 (μg/m³)","PM10 (μg/m³)","TVOC raw log(R)","NOX raw log(R)","measure0","measure1","measure2","measure3","measure4","measure5","measure6","measure7","measure8","measure9","measure10","measure11","measure12","measure13","measure14","measure15","measure16","measure17","measure18","measure19"
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:22:13","2025-08-07T08:22:13.000Z","-",49.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:21:13","2025-08-07T08:21:13.000Z","-",48.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:20:12","2025-08-07T08:20:12.000Z","-",49.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:19:11","2025-08-07T08:19:11.000Z","-",50.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:18:11","2025-08-07T08:18:11.000Z","-",49.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:17:10","2025-08-07T08:17:10.000Z","-",49.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:16:09","2025-08-07T08:16:09.000Z","-",48.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:15:08","2025-08-07T08:15:08.000Z","-",49.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:14:07","2025-08-07T08:14:07.000Z","-",48.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:13:07","2025-08-07T08:13:07.000Z","-",48.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,"Average PM",,"Outdoor","airgradient:ffffffffffff","2025-08-07 15:12:06","2025-08-07T08:12:06.000Z","-",46.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
